user,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
alexadorable,0,3,7,32,6,6,0,2,20,3,1,40,162,65,55,74,57,5,6,22,32,11,11,3,623
Ashtar_Sheron_GLF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6
bezel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10
bokchoiii,0,0,6,5,5,6,1,5,28,3,2,36,2,0,19,58,1,0,42,0,0,0,0,0,219
breezyexcursion,7,0,0,0,0,0,0,0,7,6,7,0,2,25,65,23,9,1,3,100,87,154,99,11,606
Burnt,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7
cdorner,0,0,0,0,0,7,2,2,2,0,0,0,15,0,17,2,0,0,0,0,0,2,3,0,52
ChrasSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,3,3,8,30
Coolppl,3,0,0,0,0,0,0,0,1,2,3,0,32,41,24,20,6,4,1,0,0,1,4,0,142
daffadilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
evae,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,40,100
Flam,9,4,1,75,2,3,0,1,6,0,3,44,60,22,244,52,0,0,0,0,7,34,4,2,573
Heyzeus,25,0,0,0,0,0,0,0,9,21,2,30,23,26,34,6,1,1,0,44,17,0,4,22,265
Hiten,0,0,0,0,0,0,0,0,12,45,6,75,64,113,26,70,1,2,2,101,100,16,9,37,679
jeremy,0,0,0,0,0,0,0,0,0,0,0,0,18,37,67,17,1,0,0,0,13,0,18,1,172
John,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,24,55,0,0,0,91
MegaTech,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,5
MrMallard,0,0,0,0,0,2,0,0,0,0,3,10,77,26,0,0,0,0,0,0,0,0,0,0,118
Paul,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
renavlt,11,0,0,0,0,0,0,0,0,0,0,12,49,44,37,23,1,14,4,8,14,4,0,24,245
SaltyPirate,7,5,3,0,0,0,0,0,1,5,0,1,4,32,14,9,0,0,0,0,0,0,0,0,81
Sicachu,5,7,4,117,0,0,0,0,0,0,0,0,143,97,72,47,0,34,3,0,5,0,0,0,534
Skullface,8,0,0,0,0,0,0,0,0,0,0,28,76,77,4,42,56,5,19,37,8,1,2,15,378
soup,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,9,3,12,9,0,0,0,20,36,96
Tatsumaki,2,2,0,0,0,0,0,0,1,3,1,3,7,1,10,6,1,1,0,0,0,3,0,3,44
Tavi,0,10,0,0,0,0,0,0,0,0,0,11,36,14,15,25,0,0,0,2,0,0,0,0,113
TK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,48,51
Vulgorn,18,23,4,109,15,7,4,3,35,1,1,92,306,213,163,76,0,0,0,0,0,0,0,13,1083
wlof,0,0,0,0,0,0,0,0,0,27,3,2,5,0,4,10,3,0,0,51,61,15,45,0,226
znnsk,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
CECHAT,125,54,27,340,35,31,7,14,122,118,34,385,1081,834,870,569,146,79,101,405,399,264,256,268,6564
