user,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
alexadorable,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,37
Ashtar_Sheron_GLF,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bokchoiii,0,0,0,0,0,0,0,0,0,118,77,87,1,0,0,0,0,0,0,0,0,0,0,0,283
breezyexcursion,2,0,0,0,0,0,0,0,0,0,9,4,34,28,27,6,0,0,0,0,0,0,0,0,110
cdorner,0,0,0,0,0,0,0,0,2,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,8
Coolppl,0,0,0,0,0,1,0,0,0,0,22,9,8,1,4,4,3,0,0,0,0,0,0,0,52
daffadilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,24
EsuMark,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
evae,7,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,15
Heyzeus,0,6,4,0,0,0,0,0,0,0,0,0,17,30,33,14,7,0,0,0,0,0,0,0,111
Hiten,3,1,0,0,0,0,0,0,0,0,0,7,47,86,112,8,4,0,0,0,0,0,0,0,268
jeremy,18,15,0,0,0,0,0,0,0,0,0,0,0,32,126,8,0,0,0,0,0,0,0,0,199
John,0,0,0,0,0,0,0,0,13,33,10,0,2,0,0,24,0,0,0,0,0,0,0,0,82
Lewdgig,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MrMallard,0,0,0,0,0,0,0,0,0,28,4,0,0,0,0,1,0,0,0,0,0,0,0,0,33
My_Own_Persona,0,0,5,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,13
Neoconkers,0,0,0,0,0,0,0,0,0,0,2,18,19,3,0,19,0,0,0,0,0,0,0,0,61
renavlt,0,2,1,0,0,0,0,0,0,0,22,7,8,6,1,3,0,0,0,0,0,0,0,0,50
SaltyPirate,0,0,2,0,0,0,0,0,3,2,0,10,14,3,0,1,0,0,0,0,0,0,0,0,35
Sicachu,0,29,2,0,0,0,0,0,0,33,82,42,41,13,44,15,4,0,0,0,0,0,0,0,305
Tatsumaki,4,4,0,0,0,0,0,0,2,5,0,0,4,0,4,8,0,0,0,0,0,0,0,0,31
Tavi,0,27,0,0,0,0,0,0,0,0,0,0,0,0,11,0,5,0,0,0,0,0,0,0,43
Vulgorn,1,38,9,0,1,4,4,0,10,102,111,120,53,53,149,51,0,0,0,0,0,0,0,0,706
wlof,0,0,0,0,0,0,0,0,0,28,7,4,16,26,49,16,13,0,0,0,0,0,0,0,159
CECHAT,36,143,24,0,1,7,5,0,31,349,350,316,274,281,561,236,36,0,0,0,0,0,0,0,2650
