Date,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
dailystats/stats2017-10-29.csv:Heyzeus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,3,2,11,26
dailystats/stats2017-10-30.csv:Heyzeus,15,2,0,0,0,0,0,0,0,0,6,6,17,1,3,13,20,2,7,14,4,32,13,0,155
dailystats/stats2017-10-31.csv:Heyzeus,4,28,0,0,0,0,0,0,6,0,0,3,13,0,14,5,37,12,41,52,14,26,5,9,269
dailystats/stats2017-11-01.csv:Heyzeus,4,9,1,0,0,0,0,0,8,6,17,19,1,2,5,0,6,5,0,0,0,5,3,9,100
dailystats/stats2017-11-02.csv:Heyzeus,0,0,0,0,0,0,0,0,0,3,4,0,34,1,0,15,7,18,5,0,0,4,0,0,91
dailystats/stats2017-11-03.csv:Heyzeus,19,1,1,2,1,0,0,0,0,0,2,34,24,12,84,2,10,0,0,3,11,34,0,2,242
dailystats/stats2017-11-04.csv:Heyzeus,0,15,7,1,1,1,0,0,0,0,0,1,0,7,10,10,2,4,2,0,5,11,1,19,97
dailystats/stats2017-11-05.csv:Heyzeus,13,0,0,0,0,0,0,0,0,0,10,0,0,32,27,5,0,0,3,36,3,5,24,0,158
dailystats/stats2017-11-06.csv:Heyzeus,20,9,0,0,0,0,1,1,7,0,0,0,6,4,0,40,25,26,0,0,1,7,17,0,164
dailystats/stats2017-11-07.csv:Heyzeus,9,0,0,0,0,1,1,1,1,0,0,0,17,0,3,33,30,12,16,1,0,15,12,4,156
dailystats/stats2017-11-08.csv:Heyzeus,0,0,0,0,0,0,0,0,6,6,19,6,18,2,3,19,17,11,4,0,9,10,11,0,141
dailystats/stats2017-11-09.csv:Heyzeus,9,0,0,0,0,0,0,4,3,15,1,4,29,0,0,15,18,13,6,14,0,0,12,0,143
dailystats/stats2017-11-10.csv:Heyzeus,0,0,0,0,0,0,0,0,4,0,0,2,0,3,23,19,3,0,1,12,19,50,10,4,150
