Date,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
dailystats/stats2017-10-29.csv:Tatsumaki,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,12,0,17
dailystats/stats2017-10-30.csv:Tatsumaki,3,1,1,0,0,1,0,1,0,0,2,3,3,5,3,9,19,8,5,0,0,0,0,4,68
dailystats/stats2017-10-31.csv:Tatsumaki,2,0,0,0,0,2,0,0,2,1,14,24,15,25,6,13,0,3,5,1,2,0,1,1,117
dailystats/stats2017-11-01.csv:Tatsumaki,5,0,0,0,0,0,0,1,1,0,2,2,5,2,12,9,3,6,13,10,3,14,3,1,92
dailystats/stats2017-11-02.csv:Tatsumaki,12,1,0,1,1,0,0,0,0,8,2,14,5,1,0,0,2,19,9,3,11,0,0,0,89
dailystats/stats2017-11-03.csv:Tatsumaki,0,0,3,1,0,0,0,0,0,3,2,17,12,23,25,14,23,11,6,3,4,0,0,2,149
dailystats/stats2017-11-04.csv:Tatsumaki,2,1,2,0,0,0,0,0,9,1,3,0,8,1,6,8,34,8,10,6,2,1,0,2,104
dailystats/stats2017-11-05.csv:Tatsumaki,0,1,1,1,0,2,1,2,12,7,22,14,2,3,8,4,9,5,0,1,5,0,0,6,106
dailystats/stats2017-11-06.csv:Tatsumaki,0,0,0,0,0,0,0,2,1,5,2,5,1,3,1,20,3,7,1,0,0,1,7,2,61
dailystats/stats2017-11-07.csv:Tatsumaki,3,0,0,0,0,0,1,0,0,0,0,0,1,9,0,0,17,0,0,0,0,1,0,1,33
dailystats/stats2017-11-08.csv:Tatsumaki,2,2,9,0,3,0,0,0,0,6,0,0,3,4,1,2,0,1,0,1,0,16,0,0,50
dailystats/stats2017-11-09.csv:Tatsumaki,2,3,0,0,0,0,0,0,2,2,10,0,0,1,2,1,1,0,0,1,0,0,1,1,27
dailystats/stats2017-11-10.csv:Tatsumaki,2,0,0,1,0,0,0,1,8,3,2,17,2,5,3,0,2,0,0,0,4,0,0,0,50
dailystats/stats2017-11-13.csv:Tatsumaki,1,2,3,0,1,0,0,0,2,15,1,21,2,5,1,2,0,0,0,0,0,0,0,0,56
dailystats/stats2017-11-15.csv:Tatsumaki,5,0,0,1,0,0,0,0,3,0,0,10,0,0,1,2,2,4,4,1,0,7,1,1,42
dailystats/stats2017-11-16.csv:Tatsumaki,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
