Date,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
dailystats/stats2017-10-29.csv:NigerianKnightmare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-10-30.csv:NigerianKnightmare,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
dailystats/stats2017-10-31.csv:NigerianKnightmare,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,2,12,24
dailystats/stats2017-11-01.csv:NigerianKnightmare,0,0,0,0,0,0,0,0,0,0,0,21,11,0,0,0,0,0,0,0,0,1,0,0,33
dailystats/stats2017-11-02.csv:NigerianKnightmare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,12
dailystats/stats2017-11-03.csv:NigerianKnightmare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-04.csv:NigerianKnightmare,23,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,17,18,0,0,0,65
dailystats/stats2017-11-05.csv:NigerianKnightmare,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,36,0,20,0,66,0,0,0,9,135
dailystats/stats2017-11-06.csv:NigerianKnightmare,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
dailystats/stats2017-11-07.csv:NigerianKnightmare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,14,0,1,0,28
dailystats/stats2017-11-08.csv:NigerianKnightmare,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,1,0,0,0,12
dailystats/stats2017-11-09.csv:NigerianKnightmare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,10,0,3,0,2,60
dailystats/stats2017-11-10.csv:NigerianKnightmare,0,0,0,0,0,0,0,0,0,25,4,14,0,0,0,0,0,0,5,24,47,4,0,0,123
