Date,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
dailystats/stats2017-10-29.csv:Flam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-10-30.csv:Flam,56,0,3,0,0,0,0,1,0,0,0,0,0,9,21,20,60,14,16,0,0,12,2,0,214
dailystats/stats2017-10-31.csv:Flam,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
dailystats/stats2017-11-01.csv:Flam,0,4,2,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,0,32
dailystats/stats2017-11-02.csv:Flam,17,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,29
dailystats/stats2017-11-03.csv:Flam,6,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
dailystats/stats2017-11-04.csv:Flam,13,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,0,0,0,0,0,0,61
dailystats/stats2017-11-05.csv:Flam,4,11,28,16,1,20,1,63,80,24,0,0,0,8,4,12,9,0,0,0,0,0,0,0,281
dailystats/stats2017-11-06.csv:Flam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
dailystats/stats2017-11-07.csv:Flam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,11,0,0,0,0,1,43
dailystats/stats2017-11-08.csv:Flam,9,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,25
dailystats/stats2017-11-09.csv:Flam,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,16,49
dailystats/stats2017-11-10.csv:Flam,0,3,1,0,0,0,0,0,3,0,0,5,23,8,1,34,7,0,7,2,1,0,2,19,116
dailystats/stats2017-11-13.csv:Flam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,3,12
dailystats/stats2017-11-15.csv:Flam,0,14,2,24,1,10,18,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,79
dailystats/stats2017-11-16.csv:Flam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
dailystats/stats2017-11-17.csv:Flam,20,2,1,19,2,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,7,1,0,0,59
dailystats/stats2017-11-19.csv:Flam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,15,20
dailystats/stats2017-11-20.csv:Flam,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,0,0,7,1,0,1,0,0,27
dailystats/stats2017-11-22.csv:Flam,19,0,12,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,54
dailystats/stats2017-11-23.csv:Flam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,6
dailystats/stats2017-11-24.csv:Flam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,11,0,0,0,8,33
dailystats/stats2017-11-25.csv:Flam,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
