Date,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
dailystats/stats2017-10-29.csv:Hiten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,21,25
dailystats/stats2017-10-30.csv:Hiten,12,0,0,0,0,0,0,0,0,1,2,5,71,2,4,23,150,0,0,27,0,1,6,40,344
dailystats/stats2017-10-31.csv:Hiten,0,0,0,0,0,0,0,0,0,0,48,101,61,56,18,50,139,28,10,29,14,0,37,36,627
dailystats/stats2017-11-01.csv:Hiten,0,0,0,0,0,0,0,1,1,63,25,60,27,48,25,44,39,0,16,60,126,24,46,34,639
dailystats/stats2017-11-02.csv:Hiten,0,0,0,0,0,0,0,0,0,6,28,43,84,0,5,7,70,10,6,0,16,7,0,0,282
dailystats/stats2017-11-03.csv:Hiten,0,0,0,0,0,0,0,0,0,10,9,98,116,88,143,141,55,5,2,32,18,68,1,1,787
dailystats/stats2017-11-04.csv:Hiten,146,5,0,0,0,0,0,0,0,1,7,1,0,43,51,67,20,0,127,38,22,0,0,4,532
dailystats/stats2017-11-05.csv:Hiten,63,17,0,0,0,0,0,0,0,29,150,25,47,100,3,0,0,0,0,16,9,11,0,4,474
dailystats/stats2017-11-06.csv:Hiten,4,0,0,0,0,0,1,2,0,3,4,8,17,6,125,92,60,44,3,10,0,13,81,16,489
dailystats/stats2017-11-07.csv:Hiten,0,0,0,0,0,0,0,0,0,41,1,6,54,18,0,119,37,23,14,1,1,0,53,22,390
dailystats/stats2017-11-08.csv:Hiten,0,0,0,0,0,0,0,0,0,17,6,0,20,69,2,18,43,34,0,2,0,2,12,0,225
dailystats/stats2017-11-09.csv:Hiten,0,0,0,0,0,0,1,1,7,37,46,25,7,42,0,41,53,11,0,3,21,6,20,4,325
dailystats/stats2017-11-10.csv:Hiten,0,0,0,0,0,0,0,0,0,86,11,7,32,5,69,23,29,0,0,2,71,91,20,5,451
