Date,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
dailystats/stats2017-10-29.csv:Armando,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36
dailystats/stats2017-10-30.csv:Armando,59,17,19,0,0,36,0,0,0,0,0,0,0,0,0,0,44,28,5,6,1,7,12,49,283
dailystats/stats2017-10-31.csv:Armando,16,10,6,1,0,0,0,0,3,72,70,86,28,6,32,39,78,14,25,53,10,53,29,36,667
dailystats/stats2017-11-01.csv:Armando,26,3,0,0,0,0,0,0,0,0,0,0,0,6,2,2,36,24,0,8,30,11,63,41,252
dailystats/stats2017-11-02.csv:Armando,70,5,0,7,2,1,0,1,0,0,0,41,17,12,0,0,15,16,2,0,5,0,0,0,194
dailystats/stats2017-11-03.csv:Armando,9,7,25,0,4,0,0,0,0,1,16,37,45,104,39,64,47,35,53,20,5,13,6,4,534
dailystats/stats2017-11-04.csv:Armando,58,0,0,0,0,0,0,0,0,5,16,13,25,52,35,34,114,21,31,28,21,2,18,13,486
dailystats/stats2017-11-05.csv:Armando,44,32,11,27,0,0,0,0,17,74,102,114,26,11,0,33,5,0,0,0,0,0,0,0,496
dailystats/stats2017-11-06.csv:Armando,7,18,25,17,0,0,0,0,0,0,40,64,24,15,70,78,17,0,19,22,14,0,0,11,441
dailystats/stats2017-11-07.csv:Armando,17,37,38,23,3,0,0,0,0,0,10,19,62,31,25,22,21,10,0,2,14,15,17,18,384
dailystats/stats2017-11-08.csv:Armando,2,1,6,16,0,0,0,0,0,0,4,36,16,27,11,32,18,14,7,3,20,5,7,0,225
dailystats/stats2017-11-09.csv:Armando,14,23,64,2,6,1,0,0,0,0,10,8,41,17,27,20,16,0,29,7,7,17,8,6,323
dailystats/stats2017-11-10.csv:Armando,30,38,4,0,0,0,0,0,0,9,3,5,16,3,35,12,31,33,19,2,0,0,0,0,240
dailystats/stats2017-11-13.csv:Armando,14,21,47,102,64,0,0,0,0,0,0,0,38,26,20,17,23,22,20,0,0,0,0,14,428
dailystats/stats2017-11-15.csv:Armando,28,29,20,1,3,5,0,0,0,0,0,32,1,27,1,3,0,4,28,11,2,9,0,16,220
dailystats/stats2017-11-16.csv:Armando,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79
