Date,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
dailystats/stats2017-10-29.csv:John,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
dailystats/stats2017-10-30.csv:John,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,35,8,20,1,0,67
dailystats/stats2017-10-31.csv:John,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,13,17,0,51
dailystats/stats2017-11-01.csv:John,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,24,44,4,93
dailystats/stats2017-11-02.csv:John,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,11,2,0,0,0,28
dailystats/stats2017-11-03.csv:John,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,51,18,0,0,0,0,73
dailystats/stats2017-11-04.csv:John,5,13,1,0,0,0,0,0,0,0,7,12,0,0,0,0,0,0,0,0,0,0,30,38,106
dailystats/stats2017-11-05.csv:John,42,3,0,0,0,0,0,11,143,92,92,13,0,0,3,0,27,0,0,20,6,8,59,0,519
dailystats/stats2017-11-06.csv:John,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,26,12,0,0,43
dailystats/stats2017-11-07.csv:John,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,2,7,1,3,0,35
dailystats/stats2017-11-08.csv:John,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,12
dailystats/stats2017-11-09.csv:John,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,18,32,30,9,8,2,114
dailystats/stats2017-11-10.csv:John,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,36,5,13,6,7,2,8,3,82
dailystats/stats2017-11-13.csv:John,16,50,64,105,68,0,0,0,0,11,37,66,36,53,3,32,25,2,0,0,0,0,0,0,568
