Date,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
dailystats/stats2018-01-14.csv:joestarrr,0,11,1,0,0,0,0,0,0,0,0,0,14,29,48,0,0,0,32,71,2,0,0,0,208
dailystats/stats2018-01-15.csv:joestarrr,0,0,0,0,0,0,0,0,0,1,44,22,24,27,0,0,5,0,0,5,50,54,20,11,263
dailystats/stats2018-01-16.csv:joestarrr,5,29,55,0,0,0,0,0,0,0,0,4,0,33,24,0,22,18,15,1,22,20,1,1,250
dailystats/stats2018-01-17.csv:joestarrr,4,0,0,0,0,0,0,0,0,0,0,55,13,0,0,2,0,4,45,35,87,42,0,0,287
dailystats/stats2018-01-18.csv:joestarrr,15,3,17,0,0,0,0,0,0,0,9,11,8,39,84,91,82,52,0,0,0,0,0,25,436
dailystats/stats2018-01-19.csv:joestarrr,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,46,12,1,1,0,0,78
dailystats/stats2018-01-20.csv:joestarrr,0,0,0,0,28,70,56,0,0,0,0,0,0,0,0,66,55,37,32,19,41,14,1,11,430
dailystats/stats2018-01-21.csv:joestarrr,0,0,7,0,13,10,0,0,0,0,0,0,11,47,5,17,31,12,2,5,85,49,15,0,309
dailystats/stats2018-01-22.csv:joestarrr,2,0,0,0,0,0,0,0,0,0,0,0,0,0,51,23,14,1,0,0,2,4,11,0,108
dailystats/stats2018-01-23.csv:joestarrr,0,0,0,0,0,8,0,31,2,0,0,0,0,15,0,1,0,2,7,17,5,0,0,0,88
dailystats/stats2018-01-24.csv:joestarrr,0,0,0,0,0,2,51,2,0,0,0,0,0,0,0,0,0,0,0,21,20,0,0,0,96
