Date,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
dailystats/stats2017-10-29.csv:DragonPick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-10-30.csv:DragonPick,0,0,0,0,0,0,0,0,2,0,4,5,0,16,2,31,114,0,1,5,0,0,0,0,180
dailystats/stats2017-10-31.csv:DragonPick,0,0,0,0,0,0,0,0,3,0,0,1,0,10,3,19,33,21,2,0,0,0,0,2,94
dailystats/stats2017-11-01.csv:DragonPick,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,5,3,6,0,0,0,0,20,44
dailystats/stats2017-11-02.csv:DragonPick,0,0,0,0,0,0,0,0,28,14,0,0,0,4,11,0,26,26,4,2,0,0,0,0,115
dailystats/stats2017-11-03.csv:DragonPick,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,9,4,51,28,0,0,3,0,103
dailystats/stats2017-11-04.csv:DragonPick,0,0,0,0,0,0,0,0,33,0,0,0,0,2,28,89,32,8,8,13,0,0,0,0,213
dailystats/stats2017-11-05.csv:DragonPick,2,9,21,0,0,0,0,0,31,22,67,27,0,20,28,24,17,4,0,0,0,0,0,0,272
dailystats/stats2017-11-06.csv:DragonPick,0,0,0,8,0,0,1,7,105,40,0,47,0,10,15,18,17,16,3,0,0,0,0,0,287
dailystats/stats2017-11-07.csv:DragonPick,0,0,0,0,0,0,0,0,0,0,0,0,9,43,6,1,44,0,0,0,0,0,0,0,103
dailystats/stats2017-11-08.csv:DragonPick,0,0,0,0,0,0,0,0,1,3,0,0,0,34,11,16,5,14,13,1,0,0,0,0,98
dailystats/stats2017-11-09.csv:DragonPick,0,0,0,0,0,0,0,0,1,0,0,0,0,17,16,8,11,2,2,20,0,0,0,0,77
dailystats/stats2017-11-10.csv:DragonPick,0,0,0,0,0,0,0,0,19,4,0,0,5,15,31,19,29,0,7,0,0,0,1,0,130
dailystats/stats2017-11-13.csv:DragonPick,0,0,11,120,52,2,15,0,2,15,39,17,0,2,20,15,6,0,0,0,0,0,0,0,316
dailystats/stats2017-11-15.csv:DragonPick,0,0,0,0,0,0,0,0,0,6,0,0,0,4,14,36,15,74,8,0,0,0,0,0,157
dailystats/stats2017-11-16.csv:DragonPick,0,0,0,0,0,0,0,0,42,29,0,0,0,18,13,12,0,0,43,62,6,0,0,0,225
dailystats/stats2017-11-17.csv:DragonPick,0,0,0,0,0,0,0,0,5,1,0,0,64,13,47,71,3,0,10,7,0,0,0,0,221
dailystats/stats2017-11-18.csv:DragonPick,0,0,0,0,0,0,0,0,2,3,0,0,0,19,10,0,0,0,0,0,0,0,0,0,34
dailystats/stats2017-11-19.csv:DragonPick,0,0,0,0,0,0,0,0,14,33,0,0,0,109,17,8,0,4,1,0,0,0,0,0,186
dailystats/stats2017-11-20.csv:DragonPick,0,0,0,0,0,0,0,0,0,0,7,19,0,45,10,1,0,0,27,9,0,0,0,0,118
dailystats/stats2017-11-22.csv:DragonPick,0,0,0,0,0,0,0,0,2,0,0,13,0,9,28,3,2,0,0,0,2,0,0,0,59
dailystats/stats2017-11-23.csv:DragonPick,0,0,2,2,0,0,0,0,0,0,18,0,0,6,16,3,0,0,0,2,0,0,0,0,49
dailystats/stats2017-11-24.csv:DragonPick,0,0,5,0,0,0,0,0,4,30,33,13,0,38,1,56,5,0,0,23,0,2,0,0,210
dailystats/stats2017-11-25.csv:DragonPick,0,0,0,0,0,0,21,14,0,0,0,0,0,10,0,5,13,1,14,1,0,0,2,3,84
dailystats/stats2017-11-26.csv:DragonPick,18,4,0,0,1,0,0,0,2,1,12,32,0,12,0,14,26,3,0,0,0,0,0,6,131
dailystats/stats2017-11-27.csv:DragonPick,12,0,0,0,13,21,0,0,10,19,7,0,0,6,11,6,31,1,2,0,0,0,3,0,142
dailystats/stats2017-11-28.csv:DragonPick,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,89,0,2,47,0,0,0,0,0,150
dailystats/stats2017-11-29.csv:DragonPick,0,0,0,0,0,0,0,0,12,0,0,0,0,43,8,3,0,0,0,34,0,0,0,0,100
dailystats/stats2017-11-30.csv:DragonPick,0,0,0,0,0,0,0,0,0,0,0,0,4,49,33,20,0,18,10,2,0,0,0,3,139
dailystats/stats2017-12-01.csv:DragonPick,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,11,42,3,4,0,0,0,0,81
dailystats/stats2017-12-02.csv:DragonPick,0,0,0,0,0,0,0,0,0,3,0,0,0,12,60,31,4,1,1,0,0,0,1,1,114
dailystats/stats2017-12-03.csv:DragonPick,0,0,0,0,0,0,0,0,2,0,0,0,0,5,7,23,32,5,10,2,11,1,0,0,98
dailystats/stats2017-12-05.csv:DragonPick,0,0,0,0,0,0,0,0,18,12,0,0,0,8,8,0,0,0,28,0,0,0,2,0,76
dailystats/stats2017-12-06.csv:DragonPick,0,0,0,0,0,0,0,0,1,0,0,1,63,114,10,81,19,4,44,17,0,0,1,0,355
dailystats/stats2017-12-07.csv:DragonPick,0,0,0,0,0,0,0,0,0,0,0,27,0,78,19,0,20,23,41,0,0,0,0,0,208
