dailystats/stats2017-10-29.csv:soup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,5,15
dailystats/stats2017-10-30.csv:soup,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27,28,0,0,0,0,0,24,100
dailystats/stats2017-10-31.csv:soup,1,0,0,0,0,1,2,0,0,0,0,0,0,0,4,3,0,0,6,9,0,0,10,0,36
dailystats/stats2017-11-01.csv:soup,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,42,28,5,12,107
dailystats/stats2017-11-02.csv:soup,17,33,0,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,80
dailystats/stats2017-11-03.csv:soup,0,0,0,1,0,0,0,0,0,0,39,25,16,16,3,60,2,9,1,0,0,0,0,0,172
dailystats/stats2017-11-04.csv:soup,1,2,0,0,0,0,0,0,67,0,0,1,8,2,0,0,0,0,0,0,12,1,0,0,94
dailystats/stats2017-11-05.csv:soup,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,12,11,0,0,0,0,1,3,1,45
dailystats/stats2017-11-06.csv:soup,8,7,5,5,0,0,0,0,0,0,4,0,20,0,62,56,7,17,0,1,0,0,7,0,199
dailystats/stats2017-11-07.csv:soup,38,13,9,12,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,15,0,24,2,0,122
dailystats/stats2017-11-08.csv:soup,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,6,15,3,0,0,0,1,0,39
dailystats/stats2017-11-09.csv:soup,0,3,0,0,0,0,0,4,48,0,0,0,0,23,6,0,0,0,6,0,24,6,0,0,120
dailystats/stats2017-11-10.csv:soup,0,0,2,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,2,0,23,12,51
dailystats/stats2017-11-13.csv:soup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25
dailystats/stats2017-11-15.csv:soup,0,14,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,3,10,0,7,10,111
dailystats/stats2017-11-16.csv:soup,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
