Date,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
dailystats/stats2017-10-29.csv:TK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,9,17
dailystats/stats2017-10-30.csv:TK,0,0,0,0,0,0,0,0,0,0,0,0,12,13,1,0,12,0,0,0,0,3,3,11,55
dailystats/stats2017-10-31.csv:TK,0,2,0,0,0,0,0,0,0,0,0,0,8,16,11,3,0,42,25,4,0,0,9,0,120
dailystats/stats2017-11-01.csv:TK,0,0,0,0,0,0,0,0,0,0,0,2,14,32,11,4,24,29,3,2,0,12,5,60,198
dailystats/stats2017-11-02.csv:TK,0,0,0,0,0,0,0,0,0,0,0,0,12,24,1,0,3,28,11,3,0,0,0,0,82
dailystats/stats2017-11-03.csv:TK,39,0,0,0,0,0,0,0,0,0,0,0,0,80,37,17,0,0,0,26,21,44,23,0,287
dailystats/stats2017-11-04.csv:TK,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,64,2,0,0,29,18,9,15,19,157
dailystats/stats2017-11-05.csv:TK,0,0,0,0,0,0,0,0,0,0,76,24,8,14,6,0,8,14,0,35,0,0,37,0,222
dailystats/stats2017-11-06.csv:TK,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,7,0,0,0,0,0,1,0,19,79
dailystats/stats2017-11-07.csv:TK,0,0,0,0,0,0,0,0,0,0,0,0,0,19,24,7,71,2,1,0,0,21,14,41,200
dailystats/stats2017-11-08.csv:TK,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,16,1,0,0,0,25,0,0,55
dailystats/stats2017-11-09.csv:TK,20,0,0,0,0,0,0,0,0,0,9,24,21,65,1,48,29,15,45,46,5,30,5,11,374
dailystats/stats2017-11-10.csv:TK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,5,17,2,0,18,36,37,9,0,164
dailystats/stats2017-11-13.csv:TK,15,0,0,0,0,0,0,0,0,0,0,7,4,20,0,26,79,36,0,0,0,0,0,0,187
dailystats/stats2017-11-15.csv:TK,0,1,1,0,0,0,0,0,0,0,0,0,11,45,21,16,3,21,21,2,0,12,4,4,162
dailystats/stats2017-11-16.csv:TK,34,0,0,0,0,0,0,0,0,0,0,0,3,84,25,22,52,19,51,9,0,38,2,79,418
dailystats/stats2017-11-17.csv:TK,92,7,15,121,0,0,0,0,0,0,0,0,36,71,33,0,8,0,8,1,5,6,0,6,409
dailystats/stats2017-11-18.csv:TK,0,2,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,19
dailystats/stats2017-11-19.csv:TK,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,0,4,0,13,17,3,6,3,107,164
dailystats/stats2017-11-20.csv:TK,1,0,0,0,0,0,0,0,0,0,0,0,3,57,114,10,0,29,0,0,20,0,0,0,234
dailystats/stats2017-11-22.csv:TK,45,0,0,0,0,0,0,0,0,0,0,0,21,30,14,3,4,0,0,0,0,4,0,0,121
dailystats/stats2017-11-23.csv:TK,3,15,0,0,0,0,0,0,0,0,6,5,0,1,7,3,0,0,0,0,45,5,0,9,99
dailystats/stats2017-11-24.csv:TK,15,0,0,0,0,0,0,0,0,0,0,16,104,64,0,60,0,15,2,48,0,4,30,1,359
dailystats/stats2017-11-25.csv:TK,83,1,0,0,0,0,0,0,0,0,0,0,54,6,0,14,9,25,7,0,38,6,32,0,275
dailystats/stats2017-11-26.csv:TK,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,30,4,0,8,25,4,66,76,218
dailystats/stats2017-11-27.csv:TK,33,45,46,0,0,0,0,0,0,0,0,0,1,28,84,15,4,3,37,16,14,9,16,39,390
dailystats/stats2017-11-28.csv:TK,44,0,0,0,0,0,0,0,0,0,0,16,25,6,6,20,21,3,32,23,0,8,0,25,229
dailystats/stats2017-11-29.csv:TK,1,0,1,0,0,0,0,0,0,0,0,4,44,23,16,19,0,10,0,11,1,0,10,13,153
