dailystats/stats2017-10-29.csv:TK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,9,17
dailystats/stats2017-10-30.csv:TK,0,0,0,0,0,0,0,0,0,0,0,0,12,13,1,0,12,0,0,0,0,3,3,11,55
dailystats/stats2017-10-31.csv:TK,0,2,0,0,0,0,0,0,0,0,0,0,8,16,11,3,0,42,25,4,0,0,9,0,120
dailystats/stats2017-11-01.csv:TK,0,0,0,0,0,0,0,0,0,0,0,2,14,32,11,4,24,29,3,2,0,12,5,60,198
dailystats/stats2017-11-02.csv:TK,0,0,0,0,0,0,0,0,0,0,0,0,12,24,1,0,3,28,11,3,0,0,0,0,82
dailystats/stats2017-11-03.csv:TK,39,0,0,0,0,0,0,0,0,0,0,0,0,80,37,17,0,0,0,26,21,44,23,0,287
dailystats/stats2017-11-04.csv:TK,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,64,2,0,0,29,18,9,15,19,157
dailystats/stats2017-11-05.csv:TK,0,0,0,0,0,0,0,0,0,0,76,24,8,14,6,0,8,14,0,35,0,0,37,0,222
dailystats/stats2017-11-06.csv:TK,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,7,0,0,0,0,0,1,0,19,79
dailystats/stats2017-11-07.csv:TK,0,0,0,0,0,0,0,0,0,0,0,0,0,19,24,7,71,2,1,0,0,21,14,41,200
dailystats/stats2017-11-08.csv:TK,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,16,1,0,0,0,25,0,0,55
dailystats/stats2017-11-09.csv:TK,20,0,0,0,0,0,0,0,0,0,9,24,21,65,1,48,29,15,45,46,5,30,5,11,374
dailystats/stats2017-11-10.csv:TK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,5,17,2,0,18,36,37,9,0,164
dailystats/stats2017-11-13.csv:TK,15,0,0,0,0,0,0,0,0,0,0,7,4,20,0,26,79,36,0,0,0,0,0,0,187
dailystats/stats2017-11-15.csv:TK,0,1,1,0,0,0,0,0,0,0,0,0,11,45,21,16,3,21,21,2,0,12,4,4,162
dailystats/stats2017-11-16.csv:TK,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
